,FB-NXL,FB-NL,FB-NS,FB-PXL,FB-PL,FB-PS,FBX-N,FBX-P,FST-C,FST-N,F-MX90
2024-07-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-07-15,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-07-16,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-07-17,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-07-18,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-07-19,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-07-20,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-07-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-07-22,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-07-23,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-07-24,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-07-25,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-07-26,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-07-27,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-07-28,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-07-29,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-07-30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-07-31,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-01,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-02,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-03,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-04,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-05,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-06,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-07,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-08,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-10,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-11,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-12,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-13,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-14,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-15,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-16,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-17,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-18,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-19,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-20,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-21,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-22,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-23,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-24,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-25,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-26,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-27,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-28,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-29,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-08-31,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-09-01,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-09-02,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-09-03,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-09-04,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-09-05,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-09-06,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-09-07,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-09-08,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-09-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-09-10,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
2024-09-11,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0
