,B-PL,FB-NXL,FB-NL,FB-NS,FB-PXL,FB-PL,FB-PS
2024-07-28,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-29,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-30,0.0,0.0,0.0,0,0.0,0.0,0
2024-07-31,0.0,0.0,0.0,0,0.0,0.0,0
2024-08-01,0.0,0.0,0.0,0,0.0,0.0,0
2024-08-02,0.0,0.0,0.0,0,0.0,0.0,0
2024-08-03,0.0,0.0,0.0,0,0.0,0.0,0
2024-08-04,0.0,0.0,0.0,0,0.0,0.0,0
2024-08-05,0.0,0.0,0.0,0,0.0,0.0,0
2024-08-06,0.0,0.0,0.0,0,0.0,0.0,0
2024-08-07,0.0,0.0,0.0,0,0.0,0.0,0
2024-08-08,0.0,0.0,0.0,0,0.0,0.0,0
2024-08-09,0.0,0.0,0.0,0,0.0,0.0,0
2024-08-10,0.0,0.0,0.0,0,0.0,0.0,0
2024-08-11,0.0,0.0,0.0,0,0.0,0.0,0
2024-08-12,0.0,0.0,0.0,0,0.0,0.0,0
2024-08-13,0.0,0.0,0.0,0,0.0,0.0,0
2024-08-14,0.0,0.0,0.0,0,0.0,0.0,0
2024-08-15,0.0,0.0,0.0,0,0.0,0.0,0
2024-08-16,0.0,0.0,0.0,0,0.0,0.0,0
